type_repas,titre,url,image,auteur,difficulte,duree,regime,likes,prep_time,cook_time,total_time,cuisson_type,contraintes,rating,votes,portions,ingredients
salades,Salade russe (ensaladilla rusa),https://www.cuisine-libre.org/salade-russe-ensaladilla-rusa,https://www.cuisine-libre.org/local/cache-gd2/13/3cc651f70fb862b8832fac4a55e15a.jpg?1644797286,,,Durée totale :2 h,Non végétarien,2,30 min,30 min,PT2H,,"Sans viande, Sans lactose, Sans gluten",5.00,2,,"500 g de pommes de terre | 1 grande carotte (env. 100 g) | 2 œufs | 1 petite boîte de thon, de préférence à l’huile d’olive | 1 pot de mayonnaise | 50 ml d’huile d’olive | sel | olives vertes | lanières de poivron rouge rôti"
salades,"Fregola alla primavera, pesto d’herbes (...)",https://www.cuisine-libre.org/fregola-alla-primavera-pesto-d-herbes-fraiches-et-pecorino-poivre,https://www.cuisine-libre.org/local/cache-gd2/98/1821d20807a1dd154e8d6eb1a755d8.jpg?1655750734,Grana Padano Lover,,Durée totale :1 h 05,Végétarien,,45 min,20 min,PT1H5M,Bouilli,Sans viande,,,4,400 g de pâtes Fregola Sarda | 50 ml d’huile de colza | 20 g de pistaches émondées | 30 g de noix de cajou | 50 g de pecorino au poivre | 10 g de parmesan râpé | 300 g de petits pois frais | 250 g de fèves fraîches | 2 carottes de taille moyenne | 1 grosse carotte jaune | 50 g de tomates confites égouttées | 25 ml de jus de citron | 1 c. à soupe de câpres à l’huile | 20 feuilles de menthe fraîche | ½ botte de coriandre fraîche | 40 ml d’eau (pour détendre le pesto) | 1 gousse d’ail | ¼ c. à café de piment d’Espelette | ½ c. à café de cumin | gros sel | sel fin | poivre du moulin
salades,Betteraves rôties à l’estragon,https://www.cuisine-libre.org/betteraves-roties-a-l-estragon,https://www.cuisine-libre.org/local/cache-gd2/2f/3e1c8b319658cced67f0731eb4bf67.jpg?1644795473,Romy,,Durée totale :1 h 05,Végétalien (vegan),46,25 min,40 min,PT1H5M,Four,"Sans viande, Sans œuf, Sans lactose, Sans gluten",4.89,46,4,"4 à 5 betteraves rouges crues | 1 botte d’oignons blancs | 4 c. soupe d’huile d’olive extra vierge | ½ citron pressé | 1 c. soupe de jus de pommes | ½ botte d’estragon | sel, poivre"
salades,Salade gourmande aux asperges,https://www.cuisine-libre.org/salade-gourmande-aux-asperges,https://www.cuisine-libre.org/local/cache-gd2/00/cf0ad622e35a0a68db9c63ef91204e.jpg?1644795844,Ja6,,,Non végétarien,1,?,,,,Sans viande,5.00,1,4,1 botte d’asperges vertes fines | 250 g de salades vertes mélangées | 4 tranches de saumon fumé | 4 œufs | 4 tranches de pain de mie | 40 g de beurre | vinaigrette | 4 cuillères à soupe d’huile d’olive | 1 cuillère à soupe de vinaigre balsamique | Sel & Poivre
salades,Salade de pâtes multicolores,https://www.cuisine-libre.org/salade-de-pates-multicolores,https://www.cuisine-libre.org/local/cache-gd2/e2/79ed5f65e35f5f3226c753099ee27c.jpg?1645318145,Gargantua,,Durée totale :2 h 20,Non végétarien,,10 min,10 min,PT2H20M,Bouilli,,,,10,"500 g de pâtes spiralées (fusilli, tortis ou trottole) multicolores | 1 filet d’huile d’olive | ½ tasse de bacon cuit (ou jambon) coupé en dès | ½ tasse de tomates coupées en dès | ½ tasse (50 g) d’olives noires dénoyautées et coupées en morceaux | ½ tasse (30 g) de parmesan râpé | ½ tasse (15 cl) desauce ranch | ¼ c. café de sel"
salades,Farofa fria (taboulé brésilien),https://www.cuisine-libre.org/taboule-bresilien-farofa-fria,https://www.cuisine-libre.org/local/cache-gd2/93/6b1e68948e89d99ac18214de6502d2.jpg?1644794511,,Facile !,Durée totale :35 min,Végétalien (vegan),,20 min,15 min,PT35M,Friture,"Sans viande, Sans œuf, Sans lactose, Sans gluten",,,4,"3 tasses de farine épaisse de manioc | 1 gros oignon haché | 1 carotte râpée | 1 grosse tomate | 1 poivron vert | 1 tasse d’olives vertes | 1 tasse de maïs cuit égoutté | 1 botte de persil haché | huile neutre | 2 citrons pressés | sel, poivre"
salades,Salade de lentilles aux noix,https://www.cuisine-libre.org/salade-de-lentilles-aux-noix,https://www.cuisine-libre.org/local/cache-gd2/72/98c0de43f32adf90a7a964118e3534.jpg?1644795466,Romy,Facile !,Durée totale :1 h 10,Végétalien (vegan),60,35 min,35 min,PT1H10M,Bouilli,"Sans viande, Sans œuf, Sans lactose, Sans gluten",4.80,60,4,500 g de lentilles vertes | 80 g de cerneaux de noix | 3 c.soupe de vinaigre de Xérès | 8 c.soupe d’huile de noix | 1 botte de ciboulette | 1 pincée de sel | 1 pincée de poivre noir
salades,"Salade d’épeautre, fèves, halloumi et abricots",https://www.cuisine-libre.org/salade-d-epeautre-feves-halloumi-et-abricots,https://www.cuisine-libre.org/local/cache-gd2/30/4b7e7dea8ecf45115c50a2e04b849b.jpg?1644795522,Paniers d’Erquy,,Durée totale :30 min,Végétarien,,15 min,15 min,PT30M,,"Sans viande, Sans œuf",,,4,"300 g de fèves fraîches | 150 g d’épeautre | 8 beaux abricots | 200 g de halloumi | 1 orange (zeste et jus) | 3 à 4 c. à soupe d’huile d’olive | origan | sel, poivre"
salades,Salade de poulet aux cacahuètes,https://www.cuisine-libre.org/salade-de-poulet-aux-cacahuetes,https://www.cuisine-libre.org/local/cache-gd2/8b/ffdeef373c676d5f651513688f3061.jpg?1644794885,SamA.,,Durée totale :35 min,Non végétarien,,10 min,25 min,PT35M,,"Sans œuf, Sans lactose, Sans gluten",,,4,4 blancs de poulet | 2 salades iceberg | 50 g de cacahuètes grillées | 3 c. à soupe de beurre de cacahuète | 6 c. à soupe de sauce soja | 2 c. à soupe d’huile d’arachide
salades,Salade Marco Polo,https://www.cuisine-libre.org/salade-marco-polo,https://www.cuisine-libre.org/local/cache-gd2/69/b8c83103a05f79df99ff964acd9ca8.jpg?1644794335,Loloinfo,,Durée totale :30 min,Non végétarien,1,20 min,10 min,PT30M,Bouilli,Sans viande,5.00,1,10,"Pour la salade | 500 g de tagliatelles | 150 g de surimi | 150 g de crevettes roses décortiquées | 10 gros bouquets pour le décor | 200 g de saumon fumé | 2 poivrons rouges | 4 tomates | Pour la sauce | 2 jaunes d’œuf | 2 c. à soupe de moutarde | 40 cl d’huile | ketchup | 1 citron | 2 c. à soupe de crème fraiche | 1 c. à café de paprika | sel, poivre"
